affix,cor,prob,int,V1,Productivity,V,types-P,"type-PR,",tokens-P,token-PR
itis,-0.3,0.283,3.81,4,0.028,15,2,0.13,2,0.01
oid,-0.16,0.556,2.83,4,0.021,16,5,0.31,21,0.11
most,-0.04,0.874,7.98,7,0.019,16,14,0.88,270,0.73
ier,0.39,0.102,4.56,2,0.007,19,13,0.68,184,0.64
eer,0.46,0.047,3.09,4,0.005,19,9,0.47,76,0.1
ling,-0.21,0.358,7.75,0,0,21,13,0.62,110,0.1
dom,0.3,0.175,6.32,6,0.002,22,11,0.5,74,0.02
fold,0.48,0.017,7.83,9,0.055,25,23,0.92,162,0.99
ese,0.2,0.324,2.11,4,0.002,26,7,0.27,20,0.01
th,0.53,0.003,5.96,1,0,30,10,0.33,1959,0.1
hood,0.51,0.005,8.14,8,0.004,30,24,0.8,1441,0.67
ster,0.06,0.743,4.19,12,0.004,33,20,0.61,586,0.21
ette,0.05,0.788,6.44,10,0.006,36,16,0.44,80,0.05
ory,0.26,0.111,3.49,8,0.002,38,15,0.4,2239,0.57
some,0.14,0.387,8.35,11,0.009,38,23,0.61,862,0.74
proof,0.27,0.097,5.56,14,0.055,40,32,0.8,183,0.71
ward,0.38,0.014,7.16,12,0.004,42,38,0.9,2932,0.89
ify,0.53,0,4.66,7,0.002,46,26,0.57,1701,0.38
let,0.19,0.198,7.12,19,0.014,50,31,0.62,305,0.23
ess,-0.1,0.461,5.96,18,0.013,58,33,0.57,249,0.18
ive,0.27,0.027,4.99,19,0.003,66,28,0.42,857,0.12
ee,0.04,0.761,5.58,22,0.005,68,36,0.53,207,0.05
ship,0.06,0.615,8.54,24,0.009,69,43,0.62,1000,0.36
ary,0.39,0.001,5.12,8,0.001,76,19,0.25,931,0.16
ance,0.27,0.019,1.52,6,0,77,25,0.32,671,0.05
ent,0.17,0.119,3.39,17,0.001,85,24,0.28,354,0.01
ence,0.45,0,1.11,7,0,88,9,0.1,167,0.01
ry,-0.01,0.96,3.86,25,0.005,98,43,0.44,537,0.11
ate,0.09,0.361,2.99,15,0.003,100,31,0.31,385,0.07
ant,0.14,0.159,5.46,17,0.002,102,34,0.33,816,0.09
ian,0.11,0.275,3.86,29,0.006,106,28,0.26,185,0.04
ery,0.16,0.083,4.87,21,0.004,115,44,0.38,542,0.1
age,0.09,0.287,4.71,31,0.002,136,72,0.53,1285,0.09
ism,0.24,0.005,3.53,16,0.003,137,54,0.39,1540,0.27
ize,0.23,0.006,5.43,13,0.001,143,63,0.44,1664,0.15
ist,0.38,0,3.35,39,0.005,168,55,0.33,1001,0.13
ous,0.41,0,2.11,16,0.001,171,28,0.16,1142,0.07
ment,0.21,0.005,1.75,21,0,172,42,0.24,370,0.01
ful,0.16,0.035,6.42,43,0.002,183,112,0.61,4391,0.25
ation,0.53,0,2.68,28,0.001,189,34,0.18,1695,0.06
en,0.16,0.02,4.12,63,0.003,200,112,0.56,2443,0.12
ish,0.06,0.426,6.34,59,0.005,206,120,0.58,1286,0.1
or,0,0.972,6.42,62,0.004,221,85,0.38,2013,0.12
an,0.11,0.109,2.21,47,0.003,229,60,0.26,398,0.03
able,0.13,0.031,6.61,57,0.003,278,199,0.72,3161,0.19
ic,0.28,0,1.53,39,0.002,287,42,0.15,550,0.03
ity,0.55,0,1.56,33,0.001,288,48,0.17,1916,0.06
al,0.34,0,4.34,40,0.001,300,70,0.23,2430,0.04
less,0.32,0,6.23,119,0.017,340,291,0.86,5313,0.74
like,0.24,0,4.71,270,0.381,367,251,0.68,539,0.76
ness,0.42,0,2.98,128,0.008,483,248,0.51,3845,0.23
y,0.16,0,4.24,244,0.005,1032,447,0.43,6522,0.13
ly,0.51,0,2.41,198,0.001,1158,283,0.24,16347,0.1
er,0.35,1,4.19,251,0.003,1313,653,0.5,19872,0.21