w_word,stem.x,affix,whl_word_len,afx_len,stem_len,transp,afx_onset,stem_frq,stem_orth,stem_orth_f,stem_n1_f,stem_n1_c,stem_n2_f,stem_n2_c,stem_n3_f,stem_n3_c,stem_un1_f,stem_un1_c,stem_un2_f,stem_un2_c,stem_un3_f,stem_un3_c,stem_freq_hal,stem_log_freq_hal,stem_ortho_n,stem_old,stem_oldf,stem_bg_sum,stem_bg_mean,stem_nmorph,stem_old_vwr,stem_logfrq,whl_word_freq,whl_word_logfrq,whl_word_orth,whl_word_orth_f,whl_word_n1_f,whl_word_n1_c,whl_word_n2_f,whl_word_n2_c,whl_word_n3_f,whl_word_n3_c,whl_word_un1_f,whl_word_un1_c,whl_word_un2_f,whl_word_un2_c,whl_word_un3_f,whl_word_un3_c,whl_word_freq_hal,whl_word_log_freq_hal,whl_word_ortho_n,whl_word_old,whl_word_oldf,whl_word_bg_sum,whl_word_bg_mean,whl_word_nmorph,whl_word_old_vwr,rel_frq,prime.x,trigger,rel,relatedness.x,afx_frq,med_splt,r1_splt,r1.5_splt,prime.y,list,stem.y,relatedness.y
random,ran,dom,6,3,3,opaque,consonant,116.606,20,170.11,12411.13,77.33,1700.63,10,116.61,1,303799.49,40044,40590.41,5430,2426,771,30986,10.341,27,1,9.713,13327,6663.5,1,1,2.070429479,18.2643,1.284753233,1,1.61,4654.65,504.67,788.89,72,184.17,11.75,250609.4,31562,30719.94,3286.8,9065.51,455,22335,10.014,1,2.45,7.542,20051,4010.2,1,2.35,1.61153864,random,6,related,related,low,low,high,high,random,B,ran,related
dumpling,dump,ling,8,4,4,opaque,consonant,7.67457,9,12.27,5444.27,150.25,203.66,21.67,48.19,5,116403.31,17659,4308.27,1083,255.97,115.5,10072,9.218,9,1.5,7.58,3705,1235,1,1.45,0.938247956,0.356957,0.132566086,2,0.24,4378.05,1137.88,1775.79,462.86,960,252.33,163976.3,25494.62,22489.74,4327.71,5965.24,1479.17,105,4.654,2,2.4,6.088,34220,4888.57,2,1.8,7.077586563,dumpling,5,related,related,low,high,high,high,dumpling,B,dump,related
kindling,kind,ling,8,4,4,opaque,consonant,409.846,8,131.19,11791.1,184.25,1880.07,34,934.6,5,197423.34,28384.75,43372.98,5520.67,3638.64,520,131849,11.789,9,1.45,8.5,19027,6342.33,1,1.4,2.613679063,0.951884,0.290454004,0,0,4109.04,1132.75,1793,481,956.85,258.67,204486.31,30857.5,38253.91,6147.57,6768.41,1581.33,120,4.787,0,NA,NA,48867,6981,2,2,8.998598807,kindling,4,related,related,low,high,high,high,kindling,B,kind,related
breadth,bread,th,7,2,5,opaque,consonant,76.9836,6,30.17,9094.44,344.6,1289.31,45,509.44,9.33,275736.55,35298.4,25638.01,3138.25,3677.07,420.33,9063,9.112,6,1.55,8.268,14625,3656.25,1,1.5,1.89200328,4.40246,0.73259156,0,0,3897.93,548,589.77,66.5,107.29,11.8,287939.37,32444.43,38180.3,2425.33,2210.6,256.4,1090,6.994,0,2.45,7.652,17180,2863.33,2,2.35,2.58261681,breadth,1,related,related,low,high,high,high,breadth,A,bread,related
dearth,dear,th,6,2,4,opaque,consonant,119.58,16,100.25,14395.67,194.25,2073.62,38,915.42,8.5,328094.82,41474.5,26438.08,3916.67,3753.67,296.5,29554,10.294,18,1.1,8.368,14023,4674.33,1,1,2.08127528,0.951884,0.290454004,1,4.64,5223.11,506.83,965.65,79.4,136.71,13.25,324878.68,36086.17,43210.12,3059.6,3143.12,311.75,377,5.932,1,1.85,7.874,18474,3694.8,1,1.85,7.16559332690214,dearth,7,related,related,low,high,high,high,dearth,B,dear,related
hearth,hear,th,6,2,4,opaque,consonant,183.476,18,99.16,15770.74,189.25,2589.34,38.33,1065.58,8.5,347667.71,39278.25,58367.26,3460,4361.3,436.5,90309,11.411,19,1,9.437,12703,4234.33,1,1,2.265939873,4.64044,0.751312984,4,38.91,5150.41,483.5,843.57,65,190.94,15,337927.27,34622,62367.63,2785.6,3446.94,381.75,419,6.038,4,1.7,8.064,17154,3430.8,1,1.6,3.01597326,hearth,2,related,related,low,high,high,high,hearth,A,hear,related
youth,you,th,5,2,3,opaque,consonant,6334.67,4,0.18,13540.51,48,6335.03,3,6334.67,1,173593.15,20286.33,25312.53,1668,8726.22,25,5030485,15.431,7,1.85,9.092,3809,1904.5,1,1.75,3.801792548,63.4788,1.809416946,3,112.48,8556.62,313.4,2807.14,36.5,511.5,6.33,231534.45,22295.6,48539.37,1728.25,5562.53,213.33,14084,9.553,3,1.8,8.918,8167,2041.75,1,1.8,2.101114701,youth,3,related,related,low,low,high,high,youth,A,you,related
career,car,eer,6,3,3,opaque,vowel,274.916,18,168.04,16318.28,66,1786.54,9,274.92,1,247106.5,34623.67,24278.37,4080.5,1746.11,403,86253,11.365,23,1,9.493,9885,4942.5,1,1,2.440776885,57.1725,1.764717728,3,3.55,10542.33,1091.17,2392.79,212.2,220.45,13.25,337798.64,45029.67,37365.36,5574.2,3045.98,294.75,26071,10.169,4,1.8,6.927,33100,6620,1,1.8,1.383097617,career,8,related,related,low,low,high,low,career,A,car,related
ratify,rat,ify,6,3,3,opaque,vowel,8.68594,25,31.46,16733.2,82,396.79,12,8.69,1,338956.24,39821.33,31075.74,6266,3496.27,1136,7399,8.909,28,1,8.755,14256,7128,1,1,0.986141774,0.713913,0.233988773,1,0,6541.8,619.33,741.77,61.8,172.65,12.5,249479.58,30797.83,20179.16,4385.8,3054.49,1077.75,449,6.107,1,2.15,6.791,24767,4953.4,2,1.9,4.214483273,ratify,9,related,related,low,high,high,high,ratify,A,rat,related
testify,test,ify,7,3,4,opaque,vowel,79.4228,12,71.19,23800.03,220.75,2807.76,27.33,471.48,5.5,392347.47,47697,34441.13,8653.33,3499.16,1368.5,124267,11.73,13,1.25,8.572,28784,9594.67,1,1.3,1.905379189,5.23536,0.794861533,1,1.13,7507.71,972.14,926.78,135.33,129.47,32,292771.24,36587.29,23677.95,5892.83,2295.93,815.6,2037,7.619,1,2.5,5.739,39295,6549.17,2,2.3,2.397120891,testify,14,related,related,low,high,high,high,testify,B,test,related
auditory,audit,ory,8,3,5,opaque,vowel,1.6063,1,1.78,6463.9,262.8,168.45,17.5,2.8,1.67,272742.51,33631.6,14213.51,2072.5,471.1,139.67,3286,8.097,1,1.95,7.643,9636,2409,2,1.9,0.416024404,0.356957,0.132566086,1,0.89,3213.85,722.12,411.98,74,64.1,10.83,251185.87,31236.88,20193.3,2217.29,893.64,252,682,6.525,1,2.85,6.756,18667,2666.71,2,2.75,3.138241562,auditory,13,related,related,low,high,high,high,auditory,B,audit,related
factory,fact,ory,7,3,4,opaque,vowel,448.635,5,118.96,18512.51,239.25,1679.26,18.33,693.95,2.5,246360.58,27650.25,9813.41,1585,2518.54,266.5,184510,12.125,5,1.55,8.455,5528,1842.67,1,1.55,2.65286011,39.2652,1.604929861,1,48.72,5621.23,837.29,689.34,81.33,227.68,13.8,233030.96,27476.86,18989.88,1997.67,1931.16,331.4,19414,9.874,1,2.55,7.042,14559,2426.5,2,2.5,1.65294457584216,factory,10,related,related,low,low,high,high,factory,A,fact,related
hickory,hick,ory,7,3,4,opaque,vowel,1.24935,13,14.43,11568.16,170.75,995.19,27,92.87,6,174476.49,22123.25,17772.92,2469.33,2474.04,287,431,6.066,14,1.3,8.477,8841,2947,1,1.2,0.352057037,1.13036,0.328452999,0,0,4485.37,645.71,625.53,75,77.9,11.8,191954.34,24318.57,16469.87,2080.33,1186.01,150.2,367,5.905,0,2.85,6.638,15221,2536.83,1,2.85,1.071864276,hickory,12,related,related,low,low,high,low,hickory,B,hick,related
pillory,pill,ory,7,3,4,opaque,vowel,13.8023,15,169.88,11388.27,206,2923.64,38.67,1248.4,7,181020.31,30828.25,13325.73,2420,2779.3,340,2805,7.939,16,1.15,7.994,8791,2930.33,1,1.1,1.170329202,0.416449,0.151200942,0,0,5025.33,780.86,751.22,114.67,186.88,20.6,195693.67,29292.86,16432.17,2447.83,1643.06,243.4,31,3.434,0,NA,NA,17931,2988.5,1,2.6,7.740224226,pillory,11,related,related,low,high,high,high,pillory,A,pill,related
boredom,bore,dom,7,3,4,transparent,consonant,28.497,16,169.13,20924.42,306,4791.76,41.67,1347,6.5,288403.9,36684.75,34216.7,4236.67,2651.8,281.5,3598,8.188,16,1.05,8.281,15116,5038.67,1,1,1.469777848,15.2301,1.210321196,0,0,4705.26,644,576.58,70.5,102.87,7.8,249410.51,30854.14,28174.51,3808,2047.34,314,1487,7.305,0,2.95,6.848,26708,4451.33,2,2.9,1.214370079,boredom,24,related,related,low,low,high,low,boredom,B,bore,related
freedom,free,dom,7,3,4,transparent,consonant,209.652,3,28.12,19283.89,207.5,1850.56,11.33,248.86,2,345076.65,43543.5,26668.46,3109,1731.92,234,244067,12.405,4,1.6,8.264,10827,3609,1,1.65,2.323565587,101.673,2.011456252,0,0,3419.01,474,407.4,59.5,129.69,11.4,281794.94,34773.43,24400.39,3244.17,1195.41,170.8,44824,10.71,0,2.8,6.895,22419,3736.5,2,2.85,1.155165857,freedom,26,related,related,low,low,high,low,freedom,B,free,related
kingdom,king,dom,7,3,4,transparent,consonant,91.7378,9,59.73,9153.42,160.5,1483.41,35,360.53,5.5,176823.5,27262.5,40168.17,7285.33,16554.1,3792.5,52583,10.87,13,1.5,8.433,24502,8167.33,1,1.45,1.967256789,28.973,1.476730214,0,0,2391.55,443.43,336.4,58.33,86.7,11.4,185650.28,25470,24492.92,4121,6727.7,1540.4,14254,9.565,0,2.9,6.865,28022,4670.33,2,2.9,1.332170744,kingdom,27,related,related,low,low,high,low,kingdom,B,king,related
serfdom,serf,dom,7,3,4,transparent,consonant,0.356957,3,15.23,12738.93,206.75,2397.8,19.33,0.39,1.5,280686.81,40392.5,31399.38,4896,1190.54,233.5,550,6.31,4,1.8,8.802,17399,5799.67,1,1.75,0.132566086,0.237971,0.092710471,0,0,5038.71,675.43,629.71,55.33,124.22,5.8,245000.74,32972.86,20103.24,2925.17,569.6,114,185,5.22,0,3.35,7.286,20911,3485.17,2,3.3,1.429893335,serfdom,31,related,related,low,low,high,low,serfdom,B,serf,related
stardom,star,dom,7,3,4,transparent,consonant,54.6738,8,23.79,10392.28,143,720.12,15,135.88,2.5,320148.88,42583.5,27159.81,4836,3239.38,558,81633,11.31,10,1.2,8.035,17142,5714,1,1.25,1.745650865,1.13036,0.328452999,0,0,3415.5,553.86,585.61,74.33,188.58,17.6,267550.5,34224.86,18932.59,3071.5,2003.41,371.4,170,5.136,0,3,7.215,21981,3663.5,2,3,5.314766085,stardom,22,related,related,low,high,high,high,stardom,A,star,related
boyhood,boy,hood,7,4,3,transparent,consonant,223.871,17,22.28,13783.03,70,335.75,8,223.87,1,156392.66,17657.33,4564.52,807.5,425.13,59,42823,10.665,20,1,8.508,1981,990.5,1,1,2.351933451,4.52145,0.742053144,0,0,4598.07,697.86,186.78,37.67,9.85,3.8,218078.16,21882.14,7671.71,1010.67,748.12,98.8,451,6.111,0,2.95,6.526,7393,1232.17,2,2.65,3.16949462,boyhood,18,related,related,low,high,high,high,boyhood,A,boy,related
manhood,man,hood,7,4,3,transparent,consonant,1024.11,21,191.65,13319.82,76,2695.8,10.5,1024.11,1,257072.56,31839.67,40220.63,4178,4661.14,661,188876,12.149,34,1,10.539,10779,5389.5,1,1,3.01077047,6.06826,0.849312516,0,0,4639.12,802.57,396.78,82.33,45.92,10.4,261226.69,27960.29,19590.42,2152.67,1597.49,225.2,831,6.723,0,2.9,6.04,16360,2726.67,2,2.85,3.5449500740138,manhood,23,related,related,low,high,high,high,manhood,A,man,related
duckling,duck,ling,8,4,4,transparent,consonant,9.8758,15,9.87,6287.51,162,1469.09,28.33,52.89,6,108023.35,16842.25,4885.31,1029,894.77,178,6829,8.829,16,1.35,7.934,3658,1219.33,1,1.15,1.036461213,0.297464,0.113095317,2,1.07,4183.97,1123.88,1680.08,461.86,934.64,254.83,159786.31,25086.25,21625.5,4161.29,5831.78,1460.67,83,4.419,2,2.35,6.028,33073,4724.71,2,1.8,9.164492672,duckling,21,related,related,low,high,high,high,duckling,A,duck,related
earthling,earth,ling,9,4,5,transparent,consonant,161.999,0,0,6392.76,367.8,1357.3,46.75,552.53,8.33,356571.85,39067,48746.4,2772,3731.51,379.33,61680,11.03,2,1.85,8.243,13597,3399.25,1,1.8,2.21218494,0.237971,0.092710471,0,0,3457.09,1119.44,1131.13,393.88,563.1,194.14,292117.38,36517.33,41444.89,4635,6305.62,1343.29,128,4.852,0,2.95,6.1,42960,5370,2,2.75,23.861219690479,earthling,29,related,related,low,high,high,high,earthling,B,earth,related
sapling,sap,ling,7,4,3,transparent,consonant,2.79616,22,72.2,13144.38,79.67,793.81,10.5,2.8,1,241361.15,36326.67,7462.98,1374,158.96,62,3702,8.217,24,1,8.536,3244,1622,1,1,0.579344509,0.713913,0.233988773,2,5.15,8095.49,1268.29,3463.16,419.83,1930.98,221.6,224325.8,34614.43,26571.55,4965.5,6736.77,1705.2,70,4.248,2,1.8,6.598,33759,5626.5,2,1.75,2.475950017,sapling,28,related,related,low,high,high,high,sapling,B,sap,related
seedling,seed,ling,8,4,4,transparent,consonant,28.616,20,66.25,18205.32,236.25,2735.75,39,636.51,8.5,368178,49750,27796.45,4082.33,2281.81,159.5,8215,9.014,20,1,8.507,13873,4624.33,1,1,1.471526401,0.594928,0.202741082,1,0.59,5371.41,1377.62,1802.77,470.29,941.72,256.67,289863.64,41540.12,31578.25,5531.14,6277.36,1462.67,161,5.081,1,1.95,7.512,43713,6244.71,2,1.85,7.258155965,seedling,15,related,related,low,high,high,high,seedling,A,seed,related
eleventh,eleven,th,8,2,6,transparent,consonant,40.0386,0,0,6392.1,685.67,523.02,66.6,81.86,6.75,343624.69,44049.17,25319.71,3624,3163.61,305,3145,8.054,0,2.3,7.695,21834,4366.8,1,2.15,1.613192537,4.69993,0.755869522,0,0,2599.16,531.5,443.9,63.14,111.51,14.17,337330.12,39364.25,40329.55,3540.43,4669.45,574.83,608,6.41,0,3.1,6.787,29694,4242,2,2.65,2.134220904,eleventh,19,related,related,low,low,high,high,eleventh,A,eleven,related
fourth,four,th,6,2,4,transparent,consonant,319.714,8,228.88,11532.09,190.25,1842.13,20,1235.22,5,194691.29,24754.75,24626.95,2201.67,3985.66,245.5,85200,11.353,9,1.4,8.274,7583,2527.67,1,1.35,2.506117918,45.274,1.665337042,0,0,4496.17,452.83,902.96,48.8,251.04,7.75,235943,24939.67,42123.44,2030.6,2481.73,198.5,15701,9.661,0,2.2,8.135,12034,2406.8,2,1.9,1.504871298,fourth,17,related,related,low,low,high,high,fourth,A,four,related
growth,grow,th,6,2,4,transparent,consonant,95.4264,7,15.2,6083.95,112.25,2189.67,17.67,103.37,3.5,185589.82,23575.75,13724.84,1970,1349.89,201,24803,10.119,8,1.55,8.435,7142,2380.67,1,1.45,1.984195953,121.841,2.089343343,0,0,3518.82,349.33,683.98,50.2,226.86,10,229875.35,24153.67,33564.19,1581.8,739.91,106.5,36594,10.508,0,2.35,7.312,9684,1936.8,2,2,0.949674432,growth,30,related,related,low,low,low,low,growth,B,grow,related
health,heal,th,6,2,4,transparent,consonant,4.75942,16,90.39,16046.54,203.5,2328.13,36.67,673.73,8,329452.59,36775.5,57777.19,3484,2428.14,297.5,4319,8.371,17,1.2,8.723,12578,4192.67,1,1.15,0.76037875,130.587,2.119212986,2,32.6,5181.74,489.83,828.82,52.8,337.74,9.5,325783.86,32953.5,60646.85,2602.4,1626.46,206,60950,11.018,2,1.85,8.201,15805,3161,1,1.8,0.35880242083473,health,32,related,related,low,low,low,low,health,B,heal,related
sixth,six,th,5,2,3,transparent,consonant,203.227,12,41,7089.2,55,385.45,6,203.23,1,192119.66,33582.33,7973.81,1397.5,320.67,19,43679,10.685,16,1.45,8.933,3267,1633.5,1,1.35,2.310113158,16.063,1.232055391,1,23.92,6549.99,348,713.94,23.25,32.21,2,242650.36,30273.2,35943.86,1243,167.33,13.33,4468,8.405,1,1.95,8.127,6007,1501.75,2,1.9,1.875007547,sixth,20,related,related,low,low,high,high,sixth,A,six,related
tenth,ten,th,5,2,3,transparent,consonant,219.647,21,43.93,27909.67,65,655.67,9.5,219.65,1,400064.28,46862,39107.11,6805,3379.07,618,39037,10.572,26,1,9.306,15746,7873,1,1,2.343698027,10.5302,1.061836841,3,30.3,8134.32,345.6,797.9,41.25,72.54,7,367417.13,38241,58480.64,5068.25,6247.1,949,2575,7.854,3,1.8,8.142,23606,5901.5,2,1.75,2.207211065,tenth,25,related,related,low,low,high,high,tenth,B,ten,related
warmth,warm,th,6,2,4,transparent,consonant,94.177,11,16.84,19032.15,225.75,1411.64,39,183.06,6,204929.83,25231.75,19039.81,2255,1530.36,230.5,21018,9.953,11,1.3,8.491,8367,2789,1,1.25,1.978532012,24.987,1.414756146,0,0,4908.74,506,733.05,61.8,61.47,6.5,242768.69,25257.67,36730.4,1749.4,777.67,115.75,2499,7.824,0,2.35,7.9,10889,2177.8,1,2.35,1.398496848,warmth,16,related,related,low,low,high,low,warmth,A,warm,related
marketeer,market,eer,9,3,6,transparent,vowel,132.55,2,25.11,9200.63,938.83,1356.04,132.6,320.7,19,278668.4,33793.5,15357.19,2369,958.03,193.75,98850,11.501,3,1.85,7.943,14836,2967.2,1,1.85,2.125643892,0.178478,0.071321479,0,0,2989.7,1027.56,241.65,133.25,21.49,14.71,328609.19,41007.56,23873.73,3989.5,871.46,218.29,64,4.159,0,NA,NA,38318,4789.75,2,2.9,29.803698577,marketeer,44,related,related,low,high,high,high,marketeer,B,market,related
musketeer,musket,eer,9,3,6,transparent,vowel,0.65442,0,0,7492.64,789.5,811.87,90.8,124.3,11.5,238160.32,31811.67,9262.76,1511.4,653.6,96,191,5.252,0,2,7.072,9139,1827.8,1,1.95,0.218645772,0,0,0,0,2889.87,928.67,184.98,93.62,12.56,11,301603.8,39686.33,20064.71,3453.5,697.5,162.43,87,4.466,0,3.75,5.933,32621,4077.63,2,3.1,218645772,musketeer,49,related,related,low,high,high,high,musketeer,B,musket,related
profiteer,profit,eer,9,3,6,transparent,vowel,36.945,0,0,4670.41,439.67,511.09,50.2,80.67,6.5,239508.49,30562.83,22584.97,2217.4,1510.76,269.5,19954,9.901,1,2.55,7.531,12913,2582.6,1,2.35,1.579154557,0.118986,0.048824653,0,0,3102.64,964.11,513,130.25,108.05,21.57,302502.58,38853.78,28391.09,3894.75,1443.8,270.57,33,3.497,0,3.5,7.044,36395,4549.38,2,2.8,32.343384492,profiteer,36,related,related,low,high,high,high,profiteer,A,profit,related
racketeer,racket,eer,9,3,6,transparent,vowel,11.7201,4,15.17,8404.67,873.33,1069.25,115.8,280.91,29.25,280988.42,35107.33,12236.31,2643.2,1555.11,396.5,671,6.509,4,1.7,7.125,15700,3140,1,1.7,1.104490526,0.0594928,0.02509801,0,0,2962.36,972.33,181.53,112.38,17.18,18.86,330155.87,41883.44,21923.18,4160.88,1212.65,334.14,17,2.833,0,3.55,6.137,39182,4897.75,2,2.75,44.0070938689126,racketeer,48,related,related,low,high,high,high,racketeer,B,racket,related
cashier,cash,ier,7,3,4,transparent,vowel,54.3169,13,38.56,14069.49,216,1654.49,33.67,304.93,7,251712.69,31944.75,20623.49,2748,892.81,243.5,39508,10.584,13,1.25,8.335,9593,3197.67,1,1.2,1.742857834,2.20123,0.505316878,2,0,8117.51,1420,1284.21,295.33,124.54,73.6,296637.55,39857.43,27919.3,4147.17,819.58,396.2,769,6.645,2,2.5,6.894,29267,4877.83,2,1.8,3.449039418,cashier,33,related,related,low,high,high,high,cashier,A,cash,related
clothier,cloth,ier,8,3,5,transparent,vowel,47.2967,2,1.25,6967.04,327.6,1187.94,49.25,158.71,9.67,249339.5,27181.6,39937.5,1726,2217.61,195.67,11191,9.323,2,1.85,7.424,8386,2096.5,1,1.75,1.683917457,0,0,0,0,4972.08,1258.88,704.83,215.86,115.08,55.5,289538.7,35891.38,37913.62,3363.29,2842.87,306.83,28,3.332,0,2.75,6.886,28060,4008.57,2,2.45,1683917457,clothier,50,related,related,low,high,high,high,clothier,B,cloth,related
courtier,court,ier,8,3,5,transparent,vowel,128.088,1,80.79,11480.82,390.2,3111.09,51.5,892.23,7.33,238551.71,30400.6,22535.84,2816.75,4057.07,286.33,57767,10.964,1,1.85,8.245,13092,3273,1,1.85,2.110885872,1.6063,0.416024404,0,0,5571.92,1380.38,1142.13,290.43,96.44,63.67,282796.33,37903.25,28294.02,4886.29,2597.58,433,30,3.401,0,2.55,6.87,39665,5666.43,2,2,5.073947217,courtier,46,related,related,low,high,high,high,courtier,B,court,related
frontier,front,ier,8,3,5,transparent,vowel,263.077,2,4.22,9125.86,339.2,1346.71,50,350.13,7.33,267953.37,31530,26343.12,3941,2820.77,281.33,77889,11.263,2,1.8,7.529,18748,4687,1,1.8,2.421730578,13.0884,1.148861674,1,0,5155.17,1261.38,1105.45,265.71,76.07,63.33,301172.37,38609.12,30469.61,5528.71,2254.17,484.33,4646,8.444,1,2.8,6.325,45321,6474.43,2,2.35,2.107939216,frontier,40,related,related,low,low,high,high,frontier,A,front,related
hotelier,hotel,ier,8,3,5,transparent,vowel,125.589,2,4.05,10101.43,452.8,1426.93,49.5,179.27,6,330268.89,35350.6,21681.35,3475.75,1225.59,201.67,20364,9.922,3,1.85,7.831,16469,4117.25,1,1.8,2.102395969,0.178478,0.071321479,1,0.06,5490.6,1343,717.74,248.57,42.18,56.67,340119.57,40997,26136.98,4781.14,1257.34,365.67,9,2.197,1,NA,NA,39548,5649.71,2,2.5,29.47773895,hotelier,43,related,related,low,high,high,high,hotelier,B,hotel,related
acidify,acid,ify,7,3,4,transparent,vowel,21.8933,3,6.84,6203.91,109.5,1079.06,8,21.89,1,242564.59,33521,10594.89,1797,481.42,169,13610,9.519,3,1.7,8.36,6276,2092,1,1.65,1.359708399,0,0,1,1.49,4821.8,715.86,272.02,56.33,15.67,10.6,207181.02,28486.71,8513.47,1636,477.14,155.8,39,3.664,1,NA,NA,11272,1878.67,2,2.7,1359708399,acidify,39,related,related,low,high,high,high,acidify,A,acid,related
classify,class,ify,8,3,5,transparent,vowel,203.287,8,19.65,9022.54,597,1261.1,50,379.27,10.33,239182.54,39120,15722.48,2623.5,1635.81,337,94260,11.454,10,1.5,7.849,12171,3042.75,1,1.45,2.310240731,1.6658,0.425827564,0,0,3614.13,924.88,244.33,85.14,37.35,17.83,209490.18,32615.38,12183.14,2044,1306.21,295.83,1700,7.438,0,2.75,6.628,16552,2364.57,2,2.65,5.425296343,classify,42,related,related,low,high,high,high,classify,B,class,related
fortify,fort,ify,7,3,4,transparent,vowel,23.7971,11,57.63,19628,263.75,2228.2,29.67,288.87,5,263262.16,29690,21043.72,2238,8267.95,530.5,8420,9.038,12,1.2,8.77,8232,2744,1,1.15,1.394400893,1.18986,0.340416351,1,0,7424.71,1009.57,977.64,128.17,163.83,28,219008.2,26297.57,16979.25,2685.17,3746.11,363.8,142,4.956,1,2.65,6.379,18743,3123.83,2,2.65,4.09616308,fortify,35,related,related,low,high,high,high,fortify,A,fort,related
humidify,humid,ify,8,3,5,transparent,vowel,3.03413,1,0,5607.88,269,287.93,25,109.66,4,187433.46,23039.2,6581.19,1343.5,326.2,97,646,6.471,1,2.2,7.582,6410,1602.5,1,1.95,0.605749889,0.237971,0.092710471,1,1.84,3472.56,803.62,234.45,57.43,25.85,12.17,177147.01,22564.88,6517.28,1399.86,400.25,122,22,3.091,1,3.3,5.858,11406,1629.43,2,2.95,6.533780661,humidify,41,related,related,low,high,high,high,humidify,A,humid,related
justify,just,ify,7,3,4,transparent,vowel,1236.44,8,123.79,11852.53,176.75,3334.55,28.33,1730.77,4.5,194825.52,27160.5,17286.73,3173.33,2518.72,205.5,1020539,13.836,10,1.55,8.012,10917,3639,1,1.55,3.09252415,16.42,1.241048151,0,0,5667.75,837.71,810.92,123.83,108.8,30.4,179901.55,24852.14,15100.75,3152.83,1903.76,350.4,10441,9.253,0,2.7,6.073,21428,3571.33,2,2.75,2.49186475562312,justify,45,related,related,low,high,high,high,justify,B,just,related
nullify,null,ify,7,3,4,transparent,vowel,0.356957,9,45.53,7252.43,162,2062.38,26,205.25,5.5,186175.53,29016.75,11782.35,1839,557.83,161,15410,9.643,11,1.55,8.139,6683,2227.67,1,1.55,0.132566086,0.713913,0.233988773,1,0.24,5092.34,799.43,669.57,101,161.34,31.8,174958.7,25912.86,10401.67,1923.67,757.63,228.8,363,5.894,1,2.8,5.763,13700,2283.33,2,2.7,0.566548915,nullify,47,related,related,low,low,low,low,nullify,B,null,related
solidify,solid,ify,8,3,5,transparent,vowel,46.5233,1,0,10275.92,456.2,355.77,33.25,73.43,4,245746.22,36620.4,13741.77,2386.25,907.01,214.33,24264,10.097,1,1.8,8.37,11710,2927.5,1,1.7,1.67690659,0.475942,0.169069291,1,1.73,4425.41,1046.5,411.5,76.57,86.14,14.33,213592.48,31053.12,10609.04,1995.71,690.65,180.67,215,5.371,1,2.85,6.056,16706,2386.57,2,2.75,9.91845751622358,solidify,34,related,related,low,high,high,high,solidify,A,solid,related
armory,arm,ory,6,3,3,transparent,vowel,111.132,5,894.28,15938.57,37.33,2326.11,3,111.13,1,242466.47,31996,18588.57,2862.5,1176.65,220,20427,9.925,7,1.45,8.723,7098,3549,1,1.35,2.049729568,0,0,0,0,5335.56,451,775.82,42,69.34,3.5,228862.3,29620.83,18852.41,2458,1397.72,169,1170,7.065,0,2.35,7.244,15221,3044.2,2,2.55,2049729568,armory,38,related,related,low,high,high,high,armory,A,arm,related
